National Code,National Title,Specialisations,NRT Type,Usage Recommendation,Usage Recommendation Start Date,NRT Status,Currency Period Start Date,Currency Period End Date,Superseded by,Is Equivalent,Supersedes,Is Equivalent,Latest Release Number,Latest Release Date,Parent Training Package Code,Parent Training Package Title,Is Confidential,Training Package Developer,Copyright Holder,Copyright Holder Job Title,Copyright Holder Group Name,Copyright Holder Organisation,Copyright Holder Email,Recognition Manager,ANZSCO Code,ANZSCO Name,ASCO Code,ASCO Name,ASCED6 Code,ASCED6 Name,ASCED4 Code,ASCED4 Name,Taxonomy (Industry),Taxonomy (Occupation),Qualification Level Code,Qualification Level Name,Licencing,Has Work Placement Hours,Work Placement Hours,Pre-requisite
ACM,Animal Care and Management Training Package,,Training package,Current,29/11/2017,Current,,,,,ACM10,False,6.0,16/07/2022,,,False,Skills Insight,,,,,,,,,,,,,,,,,,,,False,,False
AHC,"Agriculture, Horticulture and Conservation and Land Management Training Package",,Training package,Current,27/06/2016,Current,,,,,AHC10;AGF07,False;False,11.0,11/02/2025,,,False,Skills Insight,,,,,,,,,,,,,,,,,,,,False,,False
AMP,Australian Meat Processing Training Package,,Training package,Current,01/12/2015,Current,,,,,MTM11,False,8.1,21/02/2025,,,False,Skills Insight,,,,,,,,,,,,,,,,,,,,False,,False
AUM,Automotive Manufacturing,,Training package,Current,10/01/2014,Current,,,,,AUM12,False,2.2,07/07/2022,,,False,Mining and Automotive Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
AUR,"Automotive Retail, Service and Repair Training Package",,Training package,Current,10/01/2014,Current,,,,,AUR12,False,7.2,19/12/2023,,,False,Mining and Automotive Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
AVI,Aviation Training Package,,Training package,Current,04/09/2015,Current,,,,,AVI08,False,10.0,20/10/2022,,,False,Industry Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
BSB,Business Services Training Package,,Training package,Current,25/03/2015,Current,,,,,BSB07,False,8.0,25/01/2022,,,False,Future Skills Organisation,,,,,,,,,,,,,,,,,,,,False,,False
CHC,Community Services,,Training package,Current,01/07/2013,Current,,,,,CHC08,False,9.3,01/07/2023,,,False,HumanAbility,,,,,,,,,,,,,,,,,,,,False,,False
CPC,"Construction, Plumbing and Services Training Package",,Training package,Current,05/06/2015,Current,,,,,,,9.1,24/12/2024,,,False,BuildSkills Australia,,,,,,,,,,,,,,,,,,,,False,,False
CPC08,"Construction, Plumbing and Services Training Package",,Training package,Current,01/02/2009,Current,01/02/2009,,,,BCP03;BCF00;BCG03,False;False;False,9.9,11/11/2021,,,False,BuildSkills Australia,,,,,,,,,,,,,,,,,,,,False,,False
