Client ID,,Legal Name,Client Name,Branch,Last Contact,Client Type,Industry Sectors,Phone,Account Manager,Handler,
2005,,Dean Edward Freight,A and D Roof Carpentry GT,WA GT,9/22/2023,Current,2005,400214640,Amie Atkinson,Goran Mirosevic,#ERROR!
1853,,ACWEST ELECTRICAL PTY LTD,ACWEST ELECTRICAL PTY LTD - GT,WA GT,6/22/2023,Current,1853,430507095,Amie Atkinson,Mark Howe,
726,,Allied Pumps Pty Ltd,Allied Pumps (GT),WA GT,9/30/2024,Current,726,893501000,Amie Atkinson,Mark Howe,
10731,,Allstyle Concrete Pty Ltd,Allstyle Concrete Pty Ltd,WA GT,9/22/2023,Current,10731,9303 9466,Monika Southern,Goran Mirosevic,
10237,,ATCO STRUCTURES & LOGISTICS PTY LTD,ATCO STRUCTURES & LOGISTICS PTY LTD (GT),WA GT,9/1/2023,Current,10237,892361500,Braden Lang,Murray Wilson,
2326,,The Trustee for Evans Family Trust,A-Team Family Carpentry Contractors,WA GT,5/26/2024,Current,2326,0424 195 646,Goran Mirosevic,Goran Mirosevic,
9384,,Gomast Pty Ltd,Auswest Painting - GT,WA GT,7/31/2024,Current,9384,0412 948 054,Murray Wilson,Murray Wilson,
10205,,Axis Services Group WA Pty Ltd,Axis Services Group (GTO),WA GT,9/1/2023,Current,10205,08 9417 5133,Monika Southern,Murray Wilson,
1528,,B A Hordyk Enterprises Pty Ltd,BA & KM Carpentry,WA GT,10/25/2023,Current,1528,406060904,Goran Mirosevic,Goran Mirosevic,
715,,Colin Timothy Watts,Big Cols Bricklaying,WA GT,9/18/2024,Current,715,894054495,Murray Wilson,Murray Wilson,
471,,J & M B Binch,Binch Construction,WA GT,8/25/2022,Current,471,414642091,Murray Wilson,Murray Wilson,
1892,,COMMARC PTY LTD ATF THE MAGUIRE FAMILY TRUST,Bisschops Contracting,WA GT,9/22/2023,Current,1892,892503800,Goran Mirosevic,Goran Mirosevic,
4152,,Jay Farrington,Black Ant Carpentry and Construction,WA GT,4/30/2024,Current,4152,419172351,,Goran Mirosevic,
8055,,Blake Matthew Adams,Blake Adams,WA GT,9/22/2023,Current,8055,,Goran Mirosevic,Goran Mirosevic,
10010,,Brandon Sword,Brandon Sword,WA GT,9/22/2023,Current,,0459 035 834,Monika Southern,Goran Mirosevic,
1505,,The Roche Family Trust,Bridie Industries,WA GT,9/22/2023,Current,1505,419472688,Goran Mirosevic,Goran Mirosevic,
1800,,BTECH Electrical Services Pty Ltd,BTECH Electrical Services Pty Ltd - GT,WA GT,6/23/2023,Current,1800,0478 632 090,,Mark Howe,
6786,,Skill Hire WA Pty ltd,Bunbury Skill Hire Jobactive,WA GT,4/28/2020,Current,,08 9376 2800,Jodie Cleverly,Jodie Cleverly,
6861,,,Casotti Plumbers,WA GT,9/13/2023,Current,6861,08 9302 4223,Amie Atkinson,Murray Wilson,
10854,,,Category 5,WA GT,,Current,,,Greg Rogers,,
3527,,The Jones Family Trust,Champion Bay Electrical,WA GT,4/20/2023,Current,3527,08 9921 7557,Amie Atkinson,Amie Atkinson,
2050,,City of Albany,City of Albany (GT),WA GT,8/23/2021,Current,2050,898419333,Andrew Penson,Andrew Penson,
477,,Civmec Construction and Engineering Pty Ltd,Civmec Construction and Engineering Pty Ltd,WA GT,10/4/2023,Current,477,894376288,Terry Doyle,Terry Doyle,
5888,,Cameron Michael Fong,CMF Carpentry & Construction,WA GT,9/22/2023,Current,5888,0439 251 181,Caris Aziz,Goran Mirosevic,
3129,,AR Building,Coastal Ceilings-GT,WA GT,9/22/2023,Current,3129,,Goran Mirosevic,Goran Mirosevic,
11057,,Venus Hospitality,COMO - The Treasury (Wildflower),WA GT,7/27/2024,Current,,,Braden Lang,Murray Wilson,
3327,,Creative Carpentry WA,Creative Carpentry WA,WA GT,5/30/2024,Current,3327,,Goran Mirosevic,Goran Mirosevic,
2233,,C.B Crisp & P.J Crisp,Crisp Bricklaying,WA GT,9/22/2024,Current,2233,430412814,Amie Atkinson,Murray Wilson,
7974,,Cubic Interiors Pty Ltd,Cubic Interiors,WA GT,8/31/2024,Current,7974,08 6212 5000,Caris Aziz,Goran Mirosevic,
10129,,Kingdom Holdings Pty Ltd,Custom Screens,WA GT,6/9/2023,Current,10129,08 9279 7444,Caris Aziz,Murray Wilson,
10371,,Daniel Anthony Ward,Daniel Ward Bricklaying,WA GT,11/12/2023,Current,10371,0416 330 205,Caris Aziz,Natasha Nardone,
