Training Package Code,Training Package Title,Training Package Status,National Code,National Title,Specialisations,NRT Type,Usage Recommendation,Usage Recommendation Start Date,NRT Status,Currency Period Start Date,Currency Period End Date,Superseded by,Is Equivalent,Supersedes,Is Equivalent,Latest Release Number,Latest Release Date,Parent Training Package Code,Parent Training Package Title,Is Confidential,Training Package Developer,Copyright Holder,Copyright Holder Job Title,Copyright Holder Group Name,Copyright Holder Organisation,Copyright Holder Email,Recognition Manager,ANZSCO Code,ANZSCO Name,ASCO Code,ASCO Name,ASCED6 Code,ASCED6 Name,ASCED4 Code,ASCED4 Name,Taxonomy (Industry),Taxonomy (Occupation),Qualification Level Code,Qualification Level Name,Licencing,Has Work Placement Hours,Work Placement Hours,Pre-requisite,Elements and Performance Criteria,Performance Evidence,Knowledge Evidence,Assessment Conditions,Foundation Skills
CPC08,"Construction, Plumbing and Services Training Package",Current,CPCCBC4001A,Apply building codes and standards to the construction process for low rise building projects,False,Unit of competency,Superseded,26/11/2020,Superseded,19/05/2011,25/11/2020,CPCCBC4053;CPCCBC4001,False;False,,,1,19/05/2011,CPC08,"Construction, Plumbing and Services Training Package",False,BuildSkills Australia,,,,,,National Skills Standards Council,,,,,040305,Building Surveying,,,,,,,,False,,False,Element Performance criteria    1. Access and interpret relevant code and standard requirements.   1.1. Relevant performance requirements from the BCA that apply to individual projects (described as low rise) are identified. 1.2. Requirements of relevant BCA deemed-to-satisfy (DTS) provisions are determined.1.3. Requirements of relevant Australian standards referenced in the BCA are accessed and interpreted accordingly.     2. Classify buildings.   2.1. Nature of a building is determined according to its use and arrangement.2.2. BCA criteria to determine the defined classification are applied.2.3. BCA requirements for multiple classification are identified and interpreted.     3. Analyse and apply a range of solutions to a construction problem for compliance with the BCA.   3.1. Range of criteria that will ensure that construction methods comply with BCA performance requirements is determined.3.2. Alternative solutions to a design or construction problem that will comply with BCA requirements are discussed and proposed in accordance with company policies and procedures.3.3. Performance-based solutions are identified and documented in accordance with BCA requirements.3.4. Assessment methods referenced in the BCA to determine whether a building solution complies with performance requirements or DTS provision of the BCA are analysed and applied. 3.5. Relevant documentation is identified and completed in accordance with BCA requirements.     4. Apply fire protection requirements.   4.1. Passive and active fire control elements for low rise building required by the BCA and other legislation are identified and applied.4.2. Level of fire resistance required for the construction of various low rise buildings is determined.4.3. Check of existing buildings for compliance with passive and active fire protection requirements is carried out in accordance with BCA requirements.,,,,
CPC08,"Construction, Plumbing and Services Training Package",Current,CPCCBC4002A,Manage occupational health and safety in the building and construction workplace,False,Unit of competency,Superseded,26/11/2020,Superseded,19/05/2011,25/11/2020,CPCCBC4002,True,,,1,19/05/2011,CPC08,"Construction, Plumbing and Services Training Package",False,BuildSkills Australia,,,,,,National Skills Standards Council,,,,,061301,Occupational Health And Safety,,,,,,,,False,,False,"Element Performance criteria    1. Determine areas of potential risk in the building and construction workplace.   1.1. Specific risks for the range of occupations in the workplace are identified and prioritised. 1.2. Construction site safety is evaluated and construction hazards and potential risk areas are identified in accordance with legislative requirements for OHS and company policies. 1.3. Hazards are identified and prioritised and required approaches to remediation are documented.     2. Inspect and report on areas of specific risk.   2.1. Inspection of the workplace is conducted to identify specific risks for the range of identified occupations.2.2. Expert advice, including advice from workplace personnel, is sought as appropriate.2.3. Inspection report is completed in accordance with best practice and statutory obligations.      3. Advise on implementation of control measures at the building and construction workplace.   3.1. Recommendations are made from findings of inspection report.3.2. Relevant parties are consulted regarding compliance issues relating to statutory requirements. 3.3. Agreed control measures are implemented in conjunction with relevant workplace personnel. 3.4. Effectiveness of control measures are monitored and reviewed.     4. Establish and review communications and educational programs.   4.1. Effective strategies for communicating OHS policy and practice are determined in consultation with appropriate personnel.4.2. Communication strategies and educational programs specific to the building and construction industry and in accordance with statutory requirements and best practice are established. 4.3. Effectiveness of the communication and educational programs is reviewed.",,,,
CPC08,"Construction, Plumbing and Services Training Package",Current,CPCCBC4003A,Select and prepare a construction contract,False,Unit of competency,Superseded,26/11/2020,Superseded,19/05/2011,25/11/2020,CPCCBC4003,False,,,1,19/05/2011,CPC08,"Construction, Plumbing and Services Training Package",False,BuildSkills Australia,,,,,,National Skills Standards Council,,,,,040303,Building Construction Management,,,,,,,,False,,False,"Element Performance criteria    1. Identify and analyse the essential elements, sections and clauses of a business contract.   1.1. Various types of building and construction contracts are identified and the appropriate application of each type is analysed. 1.2. Essential terms and elements of a valid contract are identified and analysed.1.3. Importance of identifying an intention to create legal relations is analysed.1.4. Rights and liabilities of parties under a contract are identified and analysed.1.5. Common building contract terms and procedures are identified and applied.1.6. Circumstances that bring about a breach of contract are identified and analysed.1.7. Legislative requirements are identified and applied.     2. Select an appropriate contract for the works to be undertaken.   2.1. A contract, appropriate for the type of construction, is accurately selected.2.2. Range of documents that collectively make up a contract is accurately identified and prepared. 2.3. Requirements associated with an offer and acceptance of a contract are accurately identified and applied.2.4. Capacity of the parties to form a binding agreement in the form of a contract is confirmed.2.5. Factors associated with the parties' consent to a contract are identified and applied.     3. Prepare the contract.   3.1. Expert advice is sought as required in the preparation of the contract.3.2. Factors leading to the termination of a contract are defined, analysed and assessed during the preparation of the contract. 3.3. Contract rise and fall amounts are accurately calculated during the preparation of the contract.3.4. Schedule of progress payments is assessed and included in the preparation of the contract.3.5. Processes for applying for extensions of time are included in the preparation of the contract.3.6. Final contract is prepared in consultation with relevant personnel and in accordance with the accepted processes of the organisation and legal requirements.",,,,
CPC08,"Construction, Plumbing and Services Training Package",Current,CPCCBC4004A,Identify and produce estimated costs for building and construction projects,False,Unit of competency,Superseded,26/11/2020,Superseded,19/05/2011,25/11/2020,CPCCBC4004,True,,,1,19/05/2011,CPC08,"Construction, Plumbing and Services Training Package",False,BuildSkills Australia,,,,,,National Skills Standards Council,,,,,040307,Building Construction Economics,,,,,,,,False,,False,"Element Performance criteria    1. Read and interpret plans and specifications.   1.1. Appropriate plans and drawings are correctly identified.1.2. Project plans and specifications are read and understood. 1.3. Levels, heights, gradients and other measurements are interpreted.1.4. Measurements are made and quantities identified from plans and specifications that conform to standard industry practice.     2. Identify and calculate labour costs.   2.1. Types and numbers of appropriate on-site personnel are identified and the time required on site is estimated.2.2. Labour hours for non-contract elements of on-site work are calculated.2.3. Costs or rates for required on-site work are calculated.     3. Identify and establish physical resource requirements.   3.1. Physical resource requirements are identified.3.2. Lists of materials are produced and quantities calculated.3.3. Quantities are established against project or standard construction contracts.3.4. Supplier prices for materials and consumables are obtained.3.5. Plant or equipment requirements are identified and costed.      4. Develop estimated project costs.   4.1. Appropriate labour rates and material costs are selected and applied.4.2. Estimates of unit costs are determined and applied as appropriate. 4.3. Costs to the project of WorkCover, Environmental Protection Agency (EPA) requirements, seeking approvals, waste management site fees and other statutory or additional costs are identified and applied.4.4. Company overhead recovery and margins are applied.4.5. Completed estimated project costs are calculated for inclusion in a tender or bill.",,,,
CPC08,"Construction, Plumbing and Services Training Package",Current,CPCCBC4005A,Produce labour and material schedules for ordering,False,Unit of competency,Superseded,26/11/2020,Superseded,19/05/2011,25/11/2020,CPCCBC4005,True,,,1,19/05/2011,CPC08,"Construction, Plumbing and Services Training Package",False,BuildSkills Australia,,,,,,National Skills Standards Council,,,,,040303,Building Construction Management,,,,,,,,False,,False,"Element Performance criteria    1. Identify and apply all contract conditions to the schedules.   1.1. All contractual requirements are included in the schedules.1.2. Local government and regulatory bodies ' conditions of approval are included in the schedules. 1.3. Schedules include colour selections.1.4. Variations to contracts, raised by the client or the builder, are included in the schedules.     2. Produce material and labour schedules, overlays and orders.   2.1. Nominated suppliers and contractors are detailed in work schedules.2.2. Relevant overlay drawings are produced.2.3. Orders include contract details and instructions.2.4. Contract rates are applied to material and labour schedules.     3. Prepare site files.   3.1. All necessary site documents are included, including approved plans and specifications. 3.2. Call forward sheets are prepared detailing all orders.     4. Monitor and report on project costs.   4.1. Project costs are analysed against estimates during construction. 4.2. Approved variation costs are analysed.4.3. Final project cost analysis is provided.     5. Maintain data files of standard costs.   5.1. Approved variation cost increases are incorporated into site files.5.2. Changes to standard plans, specifications and cost files are included in site files.",,,,
CPC08,"Construction, Plumbing and Services Training Package",Current,CPCCBC4006B,"Select, procure and store construction materials for low rise projects",False,Unit of competency,Superseded,26/11/2020,Superseded,19/05/2011,25/11/2020,CPCCBC4006,True,CPCCBC4006A,True,1,19/05/2011,CPC08,"Construction, Plumbing and Services Training Package",False,BuildSkills Australia,,,,,,National Skills Standards Council,,,,,080315,Project Management,,,,,,,,False,,False,"Element Performance criteria    1. Identify and evaluate the properties of building materials.   1.1. Suitability of materials commonly used in the region for low rise buildings is identified for a given building system. 1.2. Properties of materials, their quality and the compatibility and non-compatibility of different materials are identified. 1.3. Environmental impacts of different materials are identified.1.4. Impact of allowable tolerances on the conversion of naturally occurring materials is identified.1.5. Tolerances for installing and assembling materials are identified and checked in regard to the nature of the work being performed and the requirements of relevant construction industry Australian standards.     2. Ensure suitable building materials are selected for application.   2.1. Materials that are structurally adequate and appropriate for the building system specified in the contract are selected. 2.2. Materials are selected for their safety; required fire resistance rating; suitability to the application, durability, serviceability and cost effectiveness; and compliance with Australian standards.2.3. Short and long-term degradation of materials are considered in relation to the building's proposed life cycle.2.4. Alternative materials are evaluated and selected if specified materials are unavailable or unsuitable.2.5. Selection of materials for use is finalised in accordance with contractual requirements and in consultation with relevant professionals and the client.     3. Supervise the acceptance, safe handling and storage of materials on site.   3.1. Limitations and effects of transportation on materials and components are determined and action is taken in the case of potentially damaging circumstances.3.2. Materials are handled correctly and safely on site using appropriate equipment and safe work practices. 3.3. Materials are stored in accordance with manufacturer specifications and in compliance with relevant Australian standards.3.4. Processes are implemented for inspecting all materials delivered on site for naturally occurring and/or manufactured defects before installation.3.5. Personnel are aware of actions to be taken in the case of defects caused by incorrect installation, application or placement.3.6. Timber is preserved and ferrous and non-ferrous metals used in the construction process are protected, using established methods.",,,,
CPC08,"Construction, Plumbing and Services Training Package",Current,CPCCBC4007A,Plan building or construction work,False,Unit of competency,Superseded,26/11/2020,Superseded,19/05/2011,25/11/2020,CPCCBC4007,True,,,1,19/05/2011,CPC08,"Construction, Plumbing and Services Training Package",False,BuildSkills Australia,,,,,,National Skills Standards Council,,,,,040303,Building Construction Management,,,,,,,,False,,False,"Element Performance criteria    1. Appraise contract documentation to identify operational requirements.   1.1. Contract documentation is reviewed to identify any unusual aspects of construction, use of materials or penalties. 1.2. Availability of selected subcontractors to suit the job requirements is determined.1.3. Availability of materials is assessed and confirmed with suppliers.1.4. Site access requirements and limitations are identified and actions taken to facilitate entry.1.5. Documentation for authorities controlling construction work is prepared and project commencement date is determined. 1.6. Procedures for controlling and recording site deliveries are implemented.     2. Implement strategies for construction operations.   2.1. Organisational strategies for implementing construction operations are identified. 2.2. Procedures for recording the hire of plant and equipment are implemented.2.3. Organisational OHS policy and procedures, including hazard and risk management, are implemented.2.4. Procedures for the removal of existing services and hazardous materials are implemented in accordance with Environment Protection Agency requirements.2.5. Procedures for the control of multiple projects are followed.     3. Prepare project schedule.   3.1. Construction operations are sequenced.3.2. Operations details are entered into a manually prepared project schedule or computer-based software package. 3.3. Critical path of the project is defined and revised as required.3.4. Project timeframes are adjusted to account for anticipated delays.     4. Determine required resources.   4.1. Temporary services and site accommodation requirements are determined and documented.4.2. Plant requirements and availability dates are determined and documented with reference to contract documentation.4.3. On-site labour requirements are determined and documented with reference to contract documentation.     5. Prepare and submit condition reports.   5.1. Reports on the condition of existing buildings and structures on adjacent site boundaries are completed.5.2. Copies of condition reports are forwarded to the owners of adjacent buildings prior to commencing construction.",,,,
CPC08,"Construction, Plumbing and Services Training Package",Current,CPCCBC4008B,Conduct on-site supervision of building and construction projects,False,Unit of competency,Superseded,26/11/2020,Superseded,19/05/2011,25/11/2020,CPCCBC4008,True,CPCCBC4008A,True,1,19/05/2011,CPC08,"Construction, Plumbing and Services Training Package",False,BuildSkills Australia,,,,,,National Skills Standards Council,,,,,040303,Building Construction Management,,,,,,,,False,,False,"Element Performance criteria    1. Supervise the administration of claims and payment processes.   1.1. Contract payments are made in accordance with the contract allowance or orders.1.2. Drawings against allowances are carried out in accordance with organisation policy and procedures.1.3. Variations to contracts are authorised and corrective action is taken where necessary.1.4. Back-charges are applied in accordance with policy guidelines.1.5. Payment of invoices for material supply is authorised.1.6. Insurance claims for site loss or damage are completed and processed.1.7. Administrative processes are conducted and supervised with reference to relevant regulatory and organisational requirements.      2. Supervise and maintain on-site communications.   2.1. Diary of on-site communication and events is maintained, including communications with clients, contractors, inspections, union matters and suppliers. 2.2. File notes detailing specific instructions are prepared and issued.2.3. Site reports detailing specific supervisory inspections are prepared and kept.2.4. Variation requests or requirements are communicated to the appropriate person.2.5. Requests for extensions of time are communicated to the appropriate person.2.6. Notice of unsatisfactory work is communicated in writing to the appropriate individuals.2.7. Administrative processes are conducted and supervised with reference to relevant regulatory and organisational requirements.     3. Ensure management of and compliance with quality control procedures.   3.1. Relevant quality control procedures are identified. 3.2. Site checklists detailing specific items to be inspected at appropriate stages are used and completed.3.3. Industry and organisational quality manuals and procedures are used in managing the quality process.3.4. Local authority inspections are arranged.3.5. Quality requirements are communicated to on-site personnel and building work is assessed against construction standards.3.6. Processes are put in place to supervise on-site work to ensure the performance of work to industry, regulatory and contractual standards.3.7. Contractual quality standards are met.     4. Complete project administration processes.   4.1. Project administration processes and preparation for practical completion are carried out in accordance with the contract requirements and company policy. 4.2. Practical completion inspection procedure is identified, communicated to the client and applied on site.4.3. Handover procedures are identified and carried out in accordance with organisational policy.4.4. Certificates and appropriate client information are provided at handover, including termite protection and appliance warranties.4.5. Defects liability items are obtained from clients.4.6. Defects are rectified and client sign-off is obtained.4.7. Administrative processes are conducted and supervised with reference to relevant regulatory and organisational requirements.",,,,
CPC08,"Construction, Plumbing and Services Training Package",Current,CPCCBC4009B,Apply legal requirements to building and construction projects,False,Unit of competency,Superseded,26/11/2020,Superseded,19/05/2011,25/11/2020,CPCCBC4009,True,CPCCBC4009A,True,1,19/05/2011,CPC08,"Construction, Plumbing and Services Training Package",False,BuildSkills Australia,,,,,,National Skills Standards Council,,,,,040303,Building Construction Management,,,,,,,,False,,False,"Element Performance criteria    1. Apply the laws relating to builder licensing or registration.   1.1. Licensing or registration legislation relevant to the region is researched and identified. 1.2. Classifications for builders, supervisors and managers are applied.     2. Apply OHS legislation and provisions on site.   2.1. Main provisions of OHS legislation and regulations are researched and identified and local legislative requirements are met. 2.2. Regulations and codes applicable to on-site construction are identified, applied and monitored.2.3. Site safety signage requirements are identified and applied.     3. Apply the codes, Acts, regulations and standards relevant to construction.   3.1. Current codes, Acts, regulations and standards applicable to a particular building and construction project are researched. 3.2. Construction process is carried out in accordance with codes, Acts, regulations and standards concerning construction, insurance, sustainability, environmental matters and appropriate by-laws.     4. Comply with insurance and regulatory requirements for housing construction.   4.1. Insurance cover is arranged in accordance with legal requirements. 4.2. Contract law is applied in accordance with common law principles, relevant state or territory laws and regulations, and fair trading legislation.     5. Apply legislation to financial transactions.   5.1. Payroll systems are set up and administered in compliance with current legislative requirements.5.2. GST systems are set up and administered in compliance with current legislation.     6. Meet building contract obligations.   6.1. Correct form of contract is selected for the project.6.2. Contracted work is carried out in accordance with the contractual obligations applicable to both parties.6.3. Conditions of the contract, including approvals and financial matters are met.     7. Apply industrial relations policies and obligations relevant to housing construction.   7.1. Relevant industrial relations policies and obligations are researched, identified and applied. 7.2. Subcontract companies that comply with company policy and obligations under subcontract agreements are identified and contracted.7.3. Relevant awards are applied to contracts.7.4. Workplace agreements are used in accordance with company policy.7.5. Proactive measures are taken to ensure discrimination and harassment are not practised in the workplace.7.6. Provisions of training agreements are identified and applied.7.7. Reference material on access to industrial relations or legal information is made available to employees.     8. Apply dispute resolution processes.   8.1. Organisational dispute resolution processes are applied.8.2. Customer complaints are dealt with according to company policy.8.3. Disputes are documented and outcomes recorded and maintained.",,,,
CPC08,"Construction, Plumbing and Services Training Package",Current,CPCCBC4010B,Apply structural principles to residential low rise constructions,False,Unit of competency,Superseded,26/11/2020,Superseded,19/05/2011,25/11/2020,CPCCBC4010,False,CPCCBC4010A,True,1,19/05/2011,CPC08,"Construction, Plumbing and Services Training Package",False,BuildSkills Australia,,,,,,National Skills Standards Council,,,,,040301,Building Science And Technology,,,,,,,,False,,False,"Element Performance criteria    1. Apply structural principles when planning the erection or demolition of a structure.   1.1. Main structural principles that apply to the erection or demolition of a residential low rise structure are identified. 1.2. Structural performance of a structure is described in terms of the effect of section properties on various materials.1.3. Structural performance characteristics of slabs, floors, beams, columns and retaining walls are explained and applied to the planning of the construction work.1.4. Demolition of existing structures is coordinated in accordance with legislative and planning requirements, environmental standards, and safe work practices.     2. Analyse and plan for the structural integrity of Class1 and Class 10 buildings.   2.1. Relevant industry professionals are consulted as required to provide advice regarding the design process and the structural integrity of the proposed Class 1 or Class 10 building. 2.2. Project documentation is collected and analysed to assist in the analysis of plans and specifications. 2.3. Project documentation is analysed for compliance with BCA requirements for bushfire, high wind, earthquake and alpine environments.2.4. New and emerging building technologies are assessed for application to the construction process and their compliance with BCA requirements and Australian standards.2.5. Pre-commencement site inspection is conducted to confirm analysis.     3. Plan, coordinate and manage the laying of footings.   3.1. Footings are set out in accordance with building's plan.3.2. Structural integrity of the footings specified in building's plan is assessed for compliance with relevant codes and accepted industry construction principles.3.3. Footings specified in building's plan are laid and checked for compliance with project documentation. 3.4. Damp coursing, provision of termite barriers, and other relevant techniques are planned, implemented and checked in accordance with codes, standards and industry practice.     4. Plan, coordinate and manage the laying of floor system.   4.1. Concrete slab or bearers and joists specified in building's plan are assessed for structural integrity and compliance with relevant codes and accepted industry construction principles.4.2. Laying of floor system specified in building's plan is supervised and checked for compliance with project documentation.      5. Plan, coordinate and manage the building of structural and non-structural wall systems.   5.1. Technical construction principles and performance of materials used in the construction are identified and analysed in the planning of the building and construction project. 5.2. Application of bracing requirements, tie-downs, tolerances, allowances, and fixing and installation of components are planned, implemented and checked for compliance with relevant Australian standards, codes and manufacturer specifications.5.3. Structural timber members are selected for low rise buildings to conform to AS1684 requirements.5.4. Processes are put in place and managed to ensure quality of the frame, whether factory pre-cut and pre-nailed, factory pre-cut and assembled on site, or cut and assembled on site.5.5. Vapour permeable sarking or a waterproof membrane, relevant to construction method, is attached and checked.     6. Plan, coordinate and manage the building of roof system.   6.1. Structural integrity of roof system components specified in building's plan is assessed for compliance with relevant codes and accepted industry construction principles.6.2. Erection of roof trusses is planned, implemented and checked in accordance with requirements of building plan, type of roof being constructed, relevant codes and accepted industry construction principles. 6.3. Processes are put in place and managed to ensure quality of the manufactured roof trusses or hand-cut roof system.6.4. Roof sarking and cladding are planned and installation is supervised and checked for compliance with codes, standards and industry practice.     7. Plan, coordinate and manage the external wall cladding of structure.   7.1. Structural performance of cladding to be used for bracing in the frame construction is assessed for compliance with relevant codes, manufacturer specifications and accepted industry construction principles. 7.2. Installation of the cladding, as specified in building's plan, is supervised and checked for compliance with standards and accepted industry construction principles.7.3. Installation of windows and external doors is supervised to ensure compliance with relevant codes, manufacturer specifications and accepted industry construction principles.",,,,
